Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aruba;ABW;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,08;;;6,45;;;7,45;;;6,92;6,9;;;;;;5,71;;;10,6;8,9;;;;;;;;;
Africa Eastern and Southern;AFE;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,49;;;;1,69;;7,91;;;11,18;;;11,71
Africa Western and Central;AFW;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,343154905;;;7,097686188;;;
Angola;AGO;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;14,2;14,9;18,9;;;;;;;;;;;;;;;;;;23,64;;;;;3,78;9,43;7,36;;;9,58;;;;;;
Albania;ALB;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;5,6;5,1;3,6;4,4;5,7;6,7;6,4;6,1;7;7,3;9,5;9,1;26,5;22,3;18,4;12,9;12,3;14,9;17,7;18,4;16,8;16,4;15,8;15;14,4;14,1;13,8;15,97;13,06;13,67;14,09;13,48;13,38;15,87;18,05;17,19;15,42;13,62;12,3;11,47;11,68999958
Andorra;AND;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,31185661;9,66471553;9,928998731;9,51309471;9,228201512;11,16619224;10,57115216;;10,50713812;;9,56101978;;;;
United Arab Emirates;ARE;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;;;;;;1,96;;;;;;;;;;1,15;;;;;;;;;;1,8;;;;;2,25;;;;;3,12;;;;;;;;;;;1,64;2,46;;2,23;
Argentina;ARG;Unemployment, total (% of total labor force) (national estimate);SL.UEM.TOTL.NE.ZS;;;;;;;;;;;4,8;6;6,6;5,6;3,4;2,3;4,5;2,8;2,8;2;2,3;4,5;4,73;4,17;3,54;5,3;4,4;5,3;6;7,3;7,06;5,44;6,36;10,1;11,76;18,8;17,11;14,82;12,65;14,05;15;17,32;19,59;15,36;13,52;11,51;10,08;8,47;7,84;8,65;7,71;7,18;7,22;7,1;7,27;;;8,35;9,22;9,84;11,46000004
